,name,country,event,date_of_violation,substance,sanction,references,flagged
5683,Arnaud Casquette, Mauritius,Long jump,2005,Cannabis,6 months,[66][217],1
5684,Víctor Castillo, Venezuela,Long jump,20062011,FurosemideMethylhexaneamine,2 years4 years,[218][21][34],1
5685,Recep Çelik, Turkey,Race walking,2012,Metenolone,2 years,[79][219],1
5686,Jolanda Čeplak, Slovenia,Middle distance,2007,EPO,2 years,[3][220][221],1
5687,Dwain Chambers, Great Britain,Sprinting,2003,"THG, Testosterone, EPO, HGH, Insulin, Modafinil & Liothyronine",2 years,[13][182][222][223],1
5688,Hafid Chani, Morocco,Long distance,2011,Biological passport,4 years,[69][70],1
5689,Jamel Chatbi, Morocco,Steeplechase,2009,Clenbuterol,3 years,[13][36][37][224],1
5690,Jani Chathurangani Silva, Sri Lanka,Sprinting,2006,Nandrolone,2 years,[3][36][225],1
5691,David Chaussinand, France,Hammer throw,23 May 2002  24 June 2002,Metenolone  Clenbuterol,3 years,[226],1
5692,Mouhcine Cheaouri, Morocco,Pole vault,2016,Stanozolol,4 years,[122][227],1
5693,Emily Chebet, Kenya,"Long distance, cross country",2015,Furosemide,4 years,[56][159][228][229],1
5694,Cristiana Checchi, Italy,Shot put,2003,Caffeine,Public warning,[230][231],1
5695,Viktor Chegin, Russia,Coach,,"Administration of a prohibited substance, complicity",Life ban,[17][232],1
5696,Abdelatif Chemlal, Morocco,Steeplechase,2004,Norandrosterone,2 years,[19][233][234],1
5697,Flomena Chepchirchir, Kenya,Marathon,2014,,6 months,[167],1
5698,Pamela Chepchumba, Kenya,Cross country running,2003,EPO,2 years,[230][235][236],1
5699,Susan Chepkemei, Kenya,Long distance,2007,Salbutamol,1 year,[3][18][237],1
5700,Svetlana Cherkasova, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][238][239][240],1
5701,Lada Chernova, Russia,Javelin throw,2008 2013,Metenolone  Bromantane,2 years  Life ban,[37][219][241][242][243][244],1
5702,Tatyana Chernova, Russia,Heptathlon,2009,Oral Turinabol,2 years,[245][246],1
5703,Lydia Cheromei, Kenya,Long distance,2005,Clomiphene,2 years,[247],1
5704,Damu Cherry, United States,Hurdling,2003,Norandrosterone,2 years,[182][248],1
5705,Silvano Chesani, Italy,High jump,2007,Formoterol,Public warning,[3][249],1
5706,Christophe Cheval, France,Sprinting,2001,Nandrolone,2 years,[13][250],1
5707,Dimitrios Chondrokoukis, Greece,High jump,2012,Stanozolol,2 years,[251][252][253],1
5708,Fouad Chouki, France,Middle distance,2003,EPO,2 years,[13][182][254],1
5709,Khalid Choukoud, Netherlands,Long distance,2007,Stanozolol,2 years,[3][255][256],1
5710,Linford Christie, Great Britain,Sprinting,1999,Nandrolone,2 years,[257],1
5711,Vivian Chukwuemeka, Nigeria,Shot put and discus,2009  2012,Oxymetholone  Stanozolol,2 years  Life ban,[92][119][258],1
5712,Clement Chukwu, Nigeria,Sprinting,1992,,4 years,[259][260],1
5713,Yelena Churakova, Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years,[119][173][261],1
5714,Hazel Clark, United States,Middle distance,2001,Pseudoephedrine,Public warning,[262],1
5715,Venolyn Clarke, Canada,Sprinting,2001,Stanozolol,4 years,[13][263][264],1
5716,Ramon Clay, United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years,[13][32][265][266],1
5717,Luis Collazo, Puerto Rico,Long distance,2011,Exogenous steroids,2 years,[79][110],1
5718,Michelle Collins, United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years),[45][267][268],1
5719,Rosa Colorado, Spain,Hurdling,1980,Steroids,18 months,[1][2][13][269][270],1
5720,Hannah Cooper, Liberia,Sprinting,1999,,,[13],1
5721,Harold Connolly, United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–,[271][272],1
5722,Jessica Cosby, United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months,[32][273][274],1
5723,Nuno da Costa, Portugal,Cross country running,2011,EPO,2 years,[10][79][275],1
5724,Daniela Costian, Romania,Discus throw,1986,,,.[1][276],1
5725,Julie Coulaud, France,Middle/Long distance,2008,Testosterone,3 years,[3][36][277],1
5726,Crystal Cox, United States,Sprinting,2002  2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning  4-year ban,[216][262][32][45][278][279],1
5727,Shawn Crawford, United States,Sprinting,2012,3 whereabouts failures,2 years,[30][173][280][281],1
5728,Olga Cristea, Moldova,Middle-distance,2010,Testosterone,2 years,[32][190][282],1
5729,Peter Dajia, Canada,Shot put,1983– 1986,"Self admittance in 1989: Steroids Positive test: Steroids, Testosterone",18 months,[2][283][284],1
5730,Martina Danišová-Hrasnová, Slovakia,Hammer throw,2003,Nandrolone,2 years,[285][286],1
5731,Bonnie Dasse, United States,Shot put,1992,Clenbuterol,4 years,[287],1
5732,Marie Davenport  (Marie McMahon), Ireland,Long distance,1996,Phenylpropanolamine,Reprimand,[288][289][290],1
5733,Walter Davis, United States,Triple jump,2013,3 whereabouts failures,1 year,[30][35],1
5734,Alice Decaux, France,Hurdling,2013,β-Methylphenethylamine,6 months,[76][291][292],1
5735,Mary Decker (Mary Slaney), United States,Middle distance,1996,Testosterone,,[45][293],1
5736,Tony Dees, United States,Hurdling,2001,"Norandrosterone, Noretiochdandone",Life ban,[262],1
5737,Hind Dehiba, France,Middle distance,2007,EPO,2 years,[294],1
5738,Tatyana Dektyareva, Russia,Hurdling,2014,Ostarine,2 years,[101][295][296],1
5739,Dimitrios Delifotis, Greece,Long jump,1984,,,[1][2],1
5740,Luis Delís, Cuba,Discus throw/shot put,1990,,,[297],1
5741,Tezeta Dengersa, Turkey,Middle/Long distance,2005,Metenolone,2 years,[66],1
5742,Frédéric Denis, France,Steeplechase,2007,EPO,2 years,[79],1
5743,Sébastien Denis, France,Hurdling,2005,Ephedrine,Public warning,[66],1
5744,Lyubov Denisova, Russia,Marathon,2007,"Prostanozol, testosterone",2 years,[298],1
5745,Manuela Derr, Germany,Sprinting,1992,Clenbuterol,3 years,[299],1
5746,Ronald Desruelles, Belgium,Long jump,1980,,,[1][300],1
5747,Hrysopiyi Devetzi, Greece,Triple/Long jump,2009  2007 (Retest 2015),Failure to submit to doping controlStanozolol,2 years 4 years,[10][79][301][94][95],1
5748,Vadim Devyatovskiy, Belarus,Hammer throw,2000,Nandrolone,2 years,[102][302],1
5749,Aïssa Dghoughi, Morocco,Long distance,2006,Refusal to submit to doping control,3 years,[19][303][304],1
5750,Ahmed Mohamed Dheeb, Qatar,Discus throw,2010,Testosterone metabolites,,[10][305],1
5751,Alberico Di Cecco, Italy,Marathon,2008,EPO,2 years,[36][37][306],1
5752,Rostislav Dimitrov, Bulgaria,Triple jump,1999,Ephedrine,,[45][307],1
5753,Svetla Dimitrova, Bulgaria,Heptathlon,1989,Sydnocarb,2 years,[308],1
5754,Katalin Divós, Hungary,Hammer throw,2001,,2 years,[309],1
5755,Vukosava Đjapić, Serbia and Montenegro,Sprinting,2005,Metenolone,2 years,[19][310],1
5756,Abderahmane Djemadi, Algeria,Long distance,2001,Refusal to submit to doping control,2 years,[311],1
5757,Gábor Dobos, Hungary,Sprinting,2000  2006," Drostanolone, testosterone",2 years  Life ban,[312][313],1
5758,Jim Doehring, United States,Shot put,1990,Steroids,2 years,[314],1
5759,Bahar Doğan, Turkey,Long distance,2011,Biological passport,2 years and 6 months,[159][315],1
5760,Bishop Dolegiewicz, Canada,"Shot put, discus throw",1973–1985,Self admittance (The Dubin Inquiry): Steroids,National record annulled,[316][317][318],1
5761,Marta Dominguez, Spain,Middle distance,2009,Biological passport,3 years,[159][319],1
5762,Tetyana Dorovskikh (Tatyana Samolenko), Ukraine,Middle distance,1993,Unknown substance,,[320],1
5763,Rashid Shafi Al-Dosari, Qatar,Discus throw,2003,Refused to submit to doping control,2 years,[321][322],1
5764,Troy Douglas, Netherlands,Sprinting,1999,Nandrolone,2 years,[323][324],1
5765,Horace Dove-Edwin, Sierra Leone,Sprinting,1994,Stanozolol,2 years,[325],1
5766,Hanna Drabenia, Belarus,Race walking,2015,Trimetazidine,2 years,[17][109],1
5767,Rasa Drazdauskaitė, Lithuania,Long distance,2003,Stanozolol,2 years,[321][326],1
5768,Heike Drechsler, East Germany,Long jump/sprinting,1980's,Self admittance,—,[327],1
5769,Hamza Driouch, Qatar,Middle distance,2012,Biological passport anomalies,2 years,[328][329],1
5770,Jon Drummond, United States,Coach,2012/2013,"Possession, trafficking and administration of prohibited substances",8 years,[330][331],1
5771,Oleksandr Dryhol, Ukraine,Hammer throw,2013,Dehydrochloromethyltestosterone,2 years,[34][76],1
5772,Aliona Dubitskaya, Belarus,Shot put,2014,Oxilofrine,6 months,[167][332],1
5773,Aleksandra Duliba, Belarus,Marathon,2013,Biological passport,2 years,[55][56],1
5774,Corina Dumbrăvean, Romania,Middle distance,20072010,Refusal to submit to testing,2 years  Life ban,[333][334],1
5775,Julien Dunkley, Jamaica,Sprinting,2008,Boldenone,2 years,[3][36][335],1
5776,Debbie Dunn, United States,Sprinting,2012,Testosterone,2 years,[219][336],1
5777,Lyudmila Dzhigalova, Ukraine,Sprinting,1993,Steroids,4 years,[337],1
5778,Monzavous Edwards, United States,Sprinting,2004,Cannabis,Public warning,[338],1
5779,Mark Edwards, Great Britain,,,"Clostebol, Testosterone",,[79],1
5780,Paul Edwards, Great Britain,Shot put,19931997,"Anabolic steroids, raised testosterone and pseudoephedrineTetrahydrocannabinol",4 yearsLife ban,[339][340],1
5781,Torri Edwards, United States,Sprinting,2004,Nikethamide,15 months (Reduced from 2 years),[341][342][343],1
5782,Daniel Effiong, Nigeria,Sprinting,1995,Methyltestosterone and ephedrine,4 years,[344][345],1
5783,Inna Eftimova, Bulgaria,Sprinting,2011 {Retested 2012),Recombinant Human Growth hormone,2 years,[13][30][153][346],1
5784,Florence Ekpo-Umoh, Germany,Sprinting,2003,Stanozolol,2 years,[230][321][347],1
5785,Christy Ekpukhon, Nigeria,Sprinting,2008,Metenolone,2 years,[3][36][45][348],1
5786,Abderrahim El Asri, Morocco,Cross country running,2014,EPO,2 years,[34][175],1
5787,Wafa Ismail El Baghdadi, Egypt,Shot put,2007,Methandienone,2 years,[36][349],1
5788,Hayat El Ghazi, Morocco,Hammer throw,2006,Norandrosterone,2 years,[350],1
5789,Mohamed El Hachimi, Morocco,Long distance,20122014,MethylhexaneamineCERA,6 months6 years,[79][80][34][70],1
5790,Fouad Elkaam (Fouad El Kaam), Morocco,Middle distance,2011,Methylhexaneamine,6 months,[10][351],1
5791,Saïda El Mehdi, Morocco,Middle distance,2009,Stanozolol,2 years,[36][37][352],1
5792,Rkia El Moukim, Morocco,Long distance,2011,Biological passport,2 years,[56][353],1
5793,Najim El Qady, Morocco,Long distance,2011,Biological passport,2 years,[17][88],1
5794,Stanislav Emelyanov, Russia,Race walking,2010,Biological passport,2 years,[13][172][354],1
5795,Alene Emere, Ethiopia,Long distance,2002,Nandrolone,2 years,[355],1
5796,Ivan Emilianov, Moldova,Shot put,2011,"Metenolone, Stanozolol",2 years,[10][79],1
5797,Meryem Erdogan, Turkey,Long distance,2010,Biological passport,2 years,[79],1
5798,Mostafa Errebbah, Italy,Long distance,2004,Stanozolol,2 years,[19][356],1
5799,Wilson Loyanae Erupe, Kenya,Long distance,2012,EPO,2 years,[357],1
5800,Fatih Eryildirim, Turkey,Hammer throw,2013,"Stanozolol, Dehydrochloromethyltestosterone",2 years and 6 months,[358][359],1
5801,Nilay Esen, Turkey,Long distance,2005,Metenolone,2 years,[19][360][361],1
5802,Alisher Eshbekov, Russia,Hammer throw,,Anabolic steroid,,[362],1
5803,Ridouane Es-Saadi, Belgium,Middle/Long distance,20042006,"Trafficking, use, possessionMethandienone",6 months Life ban,[19][363],1
5804,Latifa Essarokh, France,Middle distance,2006,Stanozolol,2 years,[364][365],1
5805,Lee Evans, United States,Coach,2013,,4 years,[366][367][368],1
5806,Davidson Ezinwa, Nigeria,Sprinting,1996 1999,Ephedrine hCG,3 months 2 years,[13][369],1
5807,Osmond Ezinwa, Nigeria,Sprinting,1996,Ephedrine,3 months,[369],1
5808,Hamid Ezzine, Morocco,Steeplechase,2009,"Refusal to submit to doping control, Tampering with test",2 years,[37][370][371],1
5809,Martin Fagan, Ireland,"Marathon, half-marathon",2011,EPO,2 years,[79][372][373],1
5810,Ahmed Faiz, Saudi Arabia,Long jump,2010,Amphetamines,2 years,[32][374],1
5811,Sandra Farmer-Patrick, United States,Hurdling,1996,Testosterone,,[13][375],1
5812,Róbert Fazekas, Hungary,Discus throw,20042012,Failing to provide urine sampleStanozolol,2 years 6 years,[34][73][219],1
5813,Surita Febbraio, South Africa,Hurdling,2005,Testosterone,2 years,[376],1
5814,Agustín Félix, Spain,Decathlon,2011,Drostanolone,2 years,[173],1
5815,Paquillo Fernández, Spain,Race walk,2010,Possession of undisclosed banned substances,2 years,[32][110][377],1
5816,Ricardo Fernández, Spain,Middle/Long distance,20042006,EPOFinasteride,2 years 2 years,[19][378][379],1
5817,Elena Fidatov, Romania,Middle/Long distance,1998,Nandrolone,2 years,[380],1
5818,Nicolas Figère, France,Hammer throw,2007,Cathine,"1 month, public warning",[3][381],1
5819,Konstadinos Filippidis, Greece,Pole vault,2007,Etilephrine,2 years,[382],1
5820,Yuliya Fomenko, Russia,Middle distance,2007,Fraudulent substitution of urine,33 months,[13][37][45][156][238][239],1
5821,Greg Foster, United States,Hurdling,1990,"Pseudoephedrine, Ephedrine, Phenylpropanolamine",6 months,[383],1
5822,Allodin Fothergill, Jamaica,Sprinting,2009,4-Methyl-2-hexanamine,3 months,[37][63],1
5823,Cecilia Francis, Nigeria,Sprinting,2013,Metenolone,1 year,[15][47],1
5824,Shelly-Ann Fraser, Jamaica,Sprinting,2010,Oxycodone,6 months,[32][384],1
5825,Brian Frasure, United States,Sprinting,2000,Nandrolone,4 years,[385],1
5826,Jake Freeman, United States,Hammer throw,20092011,CannabisCannabis,Public warning1 year,[37][386][387],1
5827,Margarita Fuentes-Pila, Spain,Middle distance,2015,,6 months,[88],1
5828,Ruth Fuchs, East Germany,Javelin throw,1970's,Anabolic steroids (self-admitted),—,[388],1
5829,Chryste Gaines, United States,Sprinting,20032005,Modafinil (positive test)THG (investigation: BALCO),Public warning2 years,[98][321],1
5830,Anton Galkin, Russia,Sprinting,2004,Stanozolol,2 years,[19][389],1
5831,Miguel Ángel Gamonal, Spain,Half marathon,20132015,ClenbuterolBiological passport,2 years3 years,[34][47][142][159],1
5832,Alberto García, Spain,"Long distance, cross country",2003,EPO,2 years,[390],1
5833,Sandra Gasser,  Switzerland,Middle distance,1987,Steroids,2 years,[13][391],1
5834,Justin Gatlin, United States,Sprinting,2001  2006,Amphetamine  Testosterone,1 year (Reduced from 2 years)  4 years,[3][392][393][394][395],1
5835,Tyson Gay, United States,Sprinting,2013 2012–2013,Positive test: Exogenous anabolic-androgenic steroid Investigation/Admittance,1 year,[175][396][397],1
5836,Tibor Gécsek, Hungary,Hammer throw,1995,Anabolic steroids,2 years (Reduced from 4 years),[398],1
5837,Ines Geipel, East Germany,Sprinting,1980's,Turinabol (self-admitted),—,[399],1
5838,Shitaye Gemechu, Ethiopia,Long distance,2009,EPO,2 years,[400],1
5839,Ivan Gertlein, Russia,Pole vault,2012,Testosterone,2 years,[76][401],1
5840,Nordine Gezzar, France,Middle/Long distance,20062012,"Finasteride, nandroloneEPO",2 years10 years,[402][403][219],1
5841,Rachid Ghanmouni, Morocco,Long distance,2006,Evading doping control,2 years,[3][36][404],1
5842,Ruqaya Al-Ghasra, Bahrain,Sprinting,2009,Epitestosterone,2 years,[13][32][112],1
5843,Alina Gherasim (Alina Tecuţa), Romania,Long distance,2002,Anabolic steroids,2 years,[405],1
5844,Bouchra Ghezielle, France,Middle distance,2008,EPO,4 years,[3][36][45][406],1
5845,Patricia Girard, France,Sprinting,1990,Primobolan (anabolic steroid),2 years,[407] (in Swedish)[1][408],1
5846,Sandra Glover, United States,Sprinting,2003,Modafinil,Disqualification and public warning,[321],1
5847,Geronimo Goeloe, Netherlands Antilles,Sprinting,2008,Stanozolol,2 years,[3][36][409],1
5848,Thomas Goller, Germany,Hurdling,2010,"Boldenone, SARMs",2 years,[32][410],1
5849,Olga Golovkina, Russia,Long distance,2013,Dehydrochloromethyltestosterone,2 years,[34][207],1
5850,Vanda Gomes, Brazil,Sprinting,2014,Anastrozole,2 years,[69][70][411],1
5851,Yekaterina Gordiyenko, Soviet Union,Pentathlon,1978,Anabolic steroids,18 months,[2][412],1
5852,Agnieszka Gortel-Maciuk, Poland,Marathon/Half marathon,2013,"Testosterone, DHEA",2 years,[100][329],1
5853,Anastasios Gousis, Greece,Sprinting,2008,Methyltrienolone,2 years,[3][36][413],1
5854,Abderrahim Goumri, Morocco,Marathon,2009,Biological passport,4 years,[13][79],1
5855,Eva-Maria Gradwohl, Austria,Long distance,2010,Refusal to submit to doping control,2 years,[32][414],1
5856,Stephanie Graf, Austria,Middle distance,2003,Attempted use of a prohibited method (Humanplasma scandal),2 years,[32][83],1
5857,Trevor Graham, United States,Coach,,"Possession, trafficking, and administration of performance-enhancing drugs, and assisting, encouraging, aiding and abetting anti-doping rule violations",Life ban,[3][415][416],1
5858,Mike Gravelle, United States,Discus throw,1995,Testosterone,,[417],1
5859,Rob Gray, Canada,Discus throw,,Self admittance: Anabolic Steroids,Lost national record,[1][318],1
5860,Bill Green, United States,Hammer throw,1987,Testosterone,2 years,[1][418],1
5861,Yelizaveta Grechishnikova, Russia,Long distance,2009,Biological passport,2 years,[13][113][145],1
5862,Anri Grigorov, Bulgaria,Sprinting,1990,,,[1],1
5863,Lidiya Grigoryeva, Russia,Long distance,2009,Biological passport,2 years and 6 months,[17][88],1
5864,Yekaterina Grigoryeva (Yekaterina Leshcheva), Russia,Sprinting,2001,,2 years,[13],1
5865,Nataliya Grygoryeva, Soviet Union,Hurdling,,,,[24],1
5866,Mickey Grimes, United States,Sprinting,20032004,Ephedrine Norandrosterone,Public warning 2 years,[98][321][419],1
5867,Yelena Gulyayeva, Russia,High jump,1991,,2 years,[420],1
5868,Anna Gurova, Russia,Sprinting,2011,Methyltestosterone,2 years,[79][86],1
5869,Andreas Gustafsson, Sweden,Race walk,2014,EPO,2 years,[34][116][421],1
5870,Abdelhadi Habassa, Morocco,Long distance,2008,Norandrosterone,2 years,[3][36][422],1
5871,Milan Haborák, Slovakia,Shot put,20042010,Hormones  Stanozolol,2 years  Life ban,[32][423][424],1
5872,Abdelkader Hachlaf, Morocco,Middle distance,2004,EPO,2 years,[45][98][425],1
5873,Halima Hachlaf, Morocco,Long-distance,2013,Biological passport,4 years,[30][35],1
5874,Mohamed El Hachimi, Morocco,Long distance,2014,CERA,6 years,[69][70],1
5875,Semoy Hackett, Trinidad and Tobago,Sprinting,20112012,MethylhexaneamineMethylhexaneamine,6 months2 years and 4 months,[13][175][426][427],1
5876,Mohammad Noor Imran Abdul Hadi, Malaysia,Sprinting,2011,Evading doping control,2 years,[13][30][253],1
5877,Vésteinn Hafsteinsson, Iceland,Discus throw,1984,Nandrolone,2 years,[428],1
5878,Linda Haglund, Sweden,Sprinting,1981,Anabolic steroids,18 months,[429],1
5879,Abdellah Haidane, Italy,Middle distance,2014,Tuaminoheptane,4 months,[430][431],1
5880,Fatima Hajjami, France,Long distance,2003,Stanozolol,2 years,[321],1
5881,Fani Halkia, Greece,Hurdling,2008,Methyltrienolone,2 years,[3][432][433][434],1
